xAccl,yAccl,zAccl,newPosition,time,pcTime
-715,-126,827,0,15349869,15444.99683380127
-574,58,856,0,15374876,15469.969987869263
-549,74,855,0,15399879,15494.997024536133
-800,94,829,0,15424887,15520.036935806274
-628,61,810,0,15449891,15544.987916946411
-658,81,809,0,15474897,15570.03402709961
-646,81,843,0,15499902,15594.985961914062
-621,50,831,0,15524907,15620.057821273804
-602,78,854,0,15549909,15645.010948181152
-528,51,867,0,15574913,15669.991970062256
-484,45,902,0,15599919,15694.963932037354
-429,46,940,0,15624927,15720.078945159912
-296,41,956,0,15649930,15746.496677398682
-182,43,995,0,15674938,15769.80209350586
-148,31,983,0,15699945,15794.85798
-10,-34,962,0,15724953,15819.914102554321
52,2,998,0,15749960,15843.942880630493
223,-27,965,0,15774967,15869.967937469482
265,-24,983,0,15799971,15894.967794418335
471,-68,922,0,15824978,15919.951915740967
441,-29,925,0,15849982,15945.072889328003
482,-49,872,0,15874994,15970.03197669983
451,-31,874,0,15900001,15995.012760162354
679,-52,843,0,15925004,16020.02477645874
604,-40,840,0,15950004,16045.01485824585
619,-44,815,0,15975008,16070.016860961914
592,-32,835,0,16000016,16095.052719116211
660,-59,827,0,16025020,16120.008945465088
623,-78,837,0,16050021,16145.025730133057
508,-44,890,0,16075024,16169.997930526733
541,-78,887,0,16100034,16195.011854171753
449,-33,917,0,16125037,16219.969749450684
358,-41,919,0,16150045,16244.974851608276
262,-66,933,0,16175047,16269.981861114502
192,-59,991,0,16200056,16295.055866241455
49,-4,1009,0,16225058,16319.97799873352
-11,25,1013,0,16250065,16345.058917999268
-291,74,985,0,16275071,16370.054960250854
-241,31,976,0,16300079,16395.040035247803
-352,54,964,0,16325085,16419.997930526733
-385,44,949,0,16350089,16445.018768310547
-415,41,916,0,16375096,16469.99979019165
-526,62,886,0,16400100,16494.993925094604
-569,88,892,0,16425107,16519.970893859863
-574,49,847,0,16450111,16544.930934906006
-589,57,845,0,16475118,16570.053815841675
-587,72,844,0,16500123,16594.97094154358
-598,58,847,0,16525130,16619.97079849243
-543,73,883,0,16550136,16644.932746887207
-485,44,882,0,16575141,16669.93999481201
-463,62,907,0,16600144,16695.01805305481
-432,54,927,0,16625148,16720.062971115112
-404,50,954,0,16650155,16745.07784843445
-272,38,974,0,16675162,16770.049810409546
-198,35,981,0,16700169,16795.077800750732
-139,41,1011,0,16725174,16820.088863372803
